Interest Code,Job Zone,Code,Occupation,Featured
AE,2,27-2011.00,Actors,Y
AER,2,27-1023.00,Floral Designers,Y
AER,2,41-9012.00,Models,Y
SA,2,39-9011.00,Childcare Workers,Y
RA,2,51-7021.00,Furniture Finishers,Y
SAE,2,39-9011.01,Nannies,Y
RAC,2,51-6051.00,"Sewers, Hand",Y
RA,2,51-9195.03,"Stone Cutters and Carvers, Manufacturing",Y
RAE,2,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",Y
RCA,2,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",Y
RCA,2,51-6041.00,Shoe and Leather Workers and Repairers,Y
RCA,2,47-2044.00,Tile and Stone Setters,Y
ARC,3,35-2013.00,"Cooks, Private Household",Y
ARE,3,27-1012.00,Craft Artists,Y
AR,3,27-2031.00,Dancers,Y
AIC,3,43-9031.00,Desktop Publishers,Y
AER,3,27-1022.00,Fashion Designers,Y
AR,3,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Y
AES,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",Y
AR,3,39-5091.00,"Makeup Artists, Theatrical and Performance",Y
AER,3,27-1026.00,Merchandise Displayers and Window Trimmers,Y
AR,3,27-4021.00,Photographers,Y
RA,3,27-4031.00,"Camera Operators, Television, Video, and Film",Y
RAC,3,51-6092.00,Fabric and Apparel Patternmakers,Y
RAC,3,51-9071.00,Jewelers and Precious Stone and Metal Workers,Y
RAI,3,49-9063.00,Musical Instrument Repairers and Tuners,Y
RA,3,51-9195.05,"Potters, Manufacturing",Y
SA,3,25-2011.00,"Preschool Teachers, Except Special Education",Y
SAE,3,25-3021.00,Self-Enrichment Teachers,Y
RA,3,27-4014.00,Sound Engineering Technicians,Y
ERA,3,35-1011.00,Chefs and Head Cooks,Y
AE,4,27-1011.00,Art Directors,Y
AES,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Y
ASE,4,27-2032.00,Choreographers,Y
AER,4,27-1021.00,Commercial and Industrial Designers,Y
AEC,4,27-3041.00,Editors,Y
AEI,4,27-4032.00,Film and Video Editors,Y
ARE,4,27-1024.00,Graphic Designers,Y
AE,4,27-1025.00,Interior Designers,Y
AS,4,27-3091.00,Interpreters and Translators,Y
AIR,4,17-1012.00,Landscape Architects,Y
AES,4,27-2041.00,Music Directors and Composers,Y
AES,4,27-2042.00,Musicians and Singers,Y
AEI,4,27-3023.00,"News Analysts, Reporters, and Journalists",Y
AI,4,27-3043.05,"Poets, Lyricists and Creative Writers",Y
AI,4,27-1014.00,Special Effects Artists and Animators,Y
AIC,4,27-3042.00,Technical Writers,Y
AE,4,15-1255.01,Video Game Designers,Y
RA,4,25-4013.00,Museum Technicians and Conservators,Y
EAS,4,27-3031.00,Public Relations Specialists,Y
SA,4,29-1125.00,Recreational Therapists,Y
SAC,4,13-1151.00,Training and Development Specialists,Y
AI,5,17-1011.00,"Architects, Except Landscape and Naval",Y
AR,5,27-1027.00,Set and Exhibit Designers,Y
IAR,5,19-3091.00,Anthropologists and Archeologists,Y
SA,5,25-1031.00,"Architecture Teachers, Postsecondary",Y
SAI,5,29-1129.01,Art Therapists,Y
SA,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Y
IAR,5,19-2011.00,Astronomers,Y
IAR,5,19-1021.00,Biochemists and Biophysicists,Y
SA,5,25-1122.00,"Communications Teachers, Postsecondary",Y
SAI,5,25-1081.00,"Education Teachers, Postsecondary",Y
SAI,5,25-1123.00,"English Language and Literature Teachers, Postsecondary",Y
SAI,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Y
IAR,5,19-1029.03,Geneticists,Y
SAI,5,21-1013.00,Marriage and Family Therapists,Y
SAI,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Y
IAS,5,19-3094.00,Political Scientists,Y
IAS,5,19-3041.00,Sociologists,Y
SA,5,25-2051.00,"Special Education Teachers, Preschool",Y
SAI,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Y
IEA,5,19-3051.00,Urban and Regional Planners,Y
