Interest Code,Job Zone,Code,Occupation,Featured
ECR,1,39-3091.00,Amusement and Recreation Attendants,Y
ECR,1,35-3023.01,Baristas,Y
RC,1,53-7011.00,Conveyor Operators and Tenders,Y
RC,1,35-2011.00,"Cooks, Fast Food",Y
RC,1,51-9031.00,"Cutters and Trimmers, Hand",Y
RCI,1,47-5011.00,"Derrick Operators, Oil and Gas",Y
RCS,1,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Y
RC,1,35-9021.00,Dishwashers,Y
EC,1,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Y
RC,1,45-4021.00,Fallers,Y
RC,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Y
RCS,1,35-3023.00,Fast Food and Counter Workers,Y
RC,1,35-2021.00,Food Preparation Workers,Y
RC,1,51-9022.00,"Grinding and Polishing Workers, Hand",Y
RC,1,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Y
RC,1,37-3011.00,Landscaping and Groundskeeping Workers,Y
RC,1,51-6011.00,Laundry and Dry-Cleaning Workers,Y
RC,1,37-2012.00,Maids and Housekeeping Cleaners,Y
RC,1,47-5051.00,"Rock Splitters, Quarry",Y
RC,1,51-6031.00,Sewing Machine Operators,Y
CE,2,43-3011.00,Bill and Account Collectors,
CER,2,43-5011.00,Cargo and Freight Agents,Y
CE,2,41-2011.00,Cashiers,Y
CE,2,43-4021.00,Correspondence Clerks,
CR,2,39-3092.00,Costume Attendants,Y
CE,2,41-2021.00,Counter and Rental Clerks,Y
CES,2,43-4031.00,"Court, Municipal, and License Clerks",Y
CES,2,43-4041.00,"Credit Authorizers, Checkers, and Clerks",
CRE,2,43-9021.00,Data Entry Keyers,
CRE,2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",
CRE,2,43-4071.00,File Clerks,
CE,2,43-5011.01,Freight Forwarders,Y
CER,2,39-3012.00,Gambling and Sports Book Writers and Runners,
CER,2,43-3041.00,Gambling Cage Workers,Y
CER,2,41-2012.00,Gambling Change Persons and Booth Cashiers,
CER,2,39-3011.00,Gambling Dealers,Y
CES,2,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",Y
CR,2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",
CES,2,43-9041.00,Insurance Claims and Policy Processing Clerks,
CRS,2,43-4121.00,"Library Assistants, Clerical",
CR,2,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",
CS,2,43-6013.00,Medical Secretaries and Administrative Assistants,Y
CR,2,43-5041.00,"Meter Readers, Utilities",
CER,2,43-9061.00,"Office Clerks, General",Y
CES,2,43-4151.00,Order Clerks,
CRS,2,31-1132.00,Orderlies,Y
CR,2,31-9095.00,Pharmacy Aides,
CR,2,51-9151.00,Photographic Process Workers and Processing Machine Operators,
CR,2,43-5051.00,Postal Service Clerks,
CR,2,43-5052.00,Postal Service Mail Carriers,
CR,2,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",
CE,2,43-3061.00,Procurement Clerks,
CE,2,43-5061.00,"Production, Planning, and Expediting Clerks",Y
CRE,2,43-5031.00,Public Safety Telecommunicators,Y
CES,2,43-4171.00,Receptionists and Information Clerks,Y
CES,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,
CE,2,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Y
CRE,2,43-5071.00,"Shipping, Receiving, and Inventory Clerks",Y
CRE,2,53-7065.00,Stockers and Order Fillers,Y
CES,2,43-2011.00,"Switchboard Operators, Including Answering Service",
CSR,2,43-2021.00,Telephone Operators,
CE,2,43-3071.00,Tellers,Y
CER,2,23-2093.00,"Title Examiners, Abstractors, and Searchers",Y
CR,2,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Y
CE,2,43-9022.00,Word Processors and Typists,
CES,3,43-3021.00,Billing and Posting Clerks,
CE,3,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Y
CE,3,43-4011.00,Brokerage Clerks,Y
CIR,3,51-9162.00,Computer Numerically Controlled Tool Programmers,Y
CE,3,27-3092.00,Court Reporters and Simultaneous Captioners,Y
CER,3,33-3051.04,Customs and Border Protection Officers,Y
CRS,3,31-9091.00,Dental Assistants,Y
CE,3,47-4011.01,Energy Auditors,Y
CE,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants,
CER,3,13-1041.04,Government Property Inspectors and Investigators,Y
CES,3,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",
CRE,3,13-1032.00,"Insurance Appraisers, Auto Damage",
CES,3,43-4111.00,"Interviewers, Except Eligibility and Loan",
CE,3,43-6012.00,Legal Secretaries and Administrative Assistants,
CSE,3,25-4031.00,Library Technicians,
CE,3,43-4131.00,Loan Interviewers and Clerks,Y
CR,3,31-9094.00,Medical Transcriptionists,
CES,3,43-4141.00,New Accounts Clerks,
CR,3,19-5012.00,Occupational Health and Safety Technicians,Y
CSR,3,29-2057.00,Ophthalmic Medical Technicians,Y
CRI,3,29-2099.05,Ophthalmic Medical Technologists,Y
CIE,3,23-2011.00,Paralegals and Legal Assistants,Y
CE,3,43-3051.00,Payroll and Timekeeping Clerks,
CR,3,29-2052.00,Pharmacy Technicians,Y
CRI,3,31-9097.00,Phlebotomists,Y
CRI,3,33-3021.02,Police Identification and Records Officers,
CIR,3,19-4099.01,Quality Control Analysts,Y
CSR,3,29-9093.00,Surgical Assistants,Y
CRI,3,17-3031.00,Surveying and Mapping Technicians,Y
CE,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",
CE,3,13-2082.00,Tax Preparers,
CIR,3,15-1254.00,Web Developers,Y
CEI,4,13-2011.00,Accountants and Auditors,Y
CIE,4,15-2011.00,Actuaries,Y
CEI,4,13-2031.00,Budget Analysts,Y
CEI,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Y
CI,4,15-2051.02,Clinical Data Managers,Y
CE,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Y
CER,4,11-9199.02,Compliance Managers,
CE,4,13-1051.00,Cost Estimators,
